Date : 2021-10-12 14:27:46
Directory : c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content
Total : 515 files,  139201 codes, 34305 comments, 31127 blanks, all 204633 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\sass\navigation\_links.scss                                           | SCSS       |         17 |          0 |          5 |         22 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\sass\navigation\_menu-footer-navigation.scss                          | SCSS       |         14 |          1 |          7 |         22 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\sass\navigation\_menu-main-navigation.scss                            | SCSS       |        387 |         26 |         94 |        507 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\sass\navigation\_menu-social-navigation.scss                          | SCSS       |         51 |          2 |         14 |         67 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\sass\navigation\_navigation.scss                                      | SCSS       |          5 |          9 |          3 |         17 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\sass\navigation\_next-previous.scss                                   | SCSS       |        153 |          4 |         45 |        202 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\sass\site\_site.scss                                                  | SCSS       |          6 |         15 |          7 |         28 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\sass\site\footer\_site-footer.scss                                    | SCSS       |         44 |          1 |          8 |         53 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\sass\site\header\_site-featured-image.scss                            | SCSS       |        212 |         30 |         60 |        302 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\sass\site\header\_site-header.scss                                    | SCSS       |        103 |          6 |         31 |        140 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\sass\site\primary\_archives.scss                                      | SCSS       |         48 |          1 |         17 |         66 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\sass\site\primary\_comments.scss                                      | SCSS       |        323 |          3 |         84 |        410 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\sass\site\primary\_posts-and-pages.scss                               | SCSS       |        230 |          4 |         71 |        305 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\sass\site\secondary\_widgets.scss                                     | SCSS       |         83 |          1 |         22 |        106 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\sass\typography\_copy.scss                                            | SCSS       |         51 |          0 |         12 |         63 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\sass\typography\_headings.scss                                        | SCSS       |        147 |          1 |         17 |        165 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\sass\typography\_typography.scss                                      | SCSS       |         27 |          0 |          6 |         33 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\sass\variables-site\_colors.scss                                      | SCSS       |         26 |          4 |          5 |         35 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\sass\variables-site\_columns.scss                                     | SCSS       |         15 |          0 |          2 |         17 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\sass\variables-site\_fonts.scss                                       | SCSS       |         56 |         21 |          6 |         83 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\sass\variables-site\_structure.scss                                   | SCSS       |         10 |          2 |          5 |         17 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\sass\variables-site\_transitions.scss                                 | SCSS       |          4 |          1 |          1 |          6 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\sass\variables-site\_variables-site.scss                              | SCSS       |          5 |          0 |          1 |          6 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\search.php                                                            | PHP        |         26 |         19 |         12 |         57 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\single.php                                                            | PHP        |         36 |         14 |         11 |         61 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\style-editor-customizer.css                                           | CSS        |          0 |          5 |          1 |          6 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\style-editor-customizer.scss                                          | SCSS       |          0 |          5 |          0 |          5 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\style-editor.css                                                      | CSS        |      1,353 |         45 |        182 |      1,580 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\style-editor.scss                                                     | SCSS       |        730 |         60 |        205 |        995 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\style-rtl.css                                                         | CSS        |      5,511 |        370 |        709 |      6,590 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\style.css                                                             | CSS        |      5,511 |        382 |        709 |      6,602 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\style.scss                                                            | SCSS       |         15 |         74 |         28 |        117 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\template-parts\content\content-excerpt.php                            | PHP        |         19 |          9 |          6 |         34 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\template-parts\content\content-none.php                               | PHP        |         34 |         10 |         10 |         54 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\template-parts\content\content-page.php                               | PHP        |         41 |         10 |          6 |         57 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\template-parts\content\content-single.php                             | PHP        |         38 |         10 |          8 |         56 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\template-parts\content\content.php                                    | PHP        |         43 |         10 |          7 |         60 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\template-parts\footer\footer-widgets.php                              | PHP        |         14 |          7 |          4 |         25 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\template-parts\header\entry-header.php                                | PHP        |         34 |          9 |          4 |         47 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\template-parts\header\site-branding.php                               | PHP        |         51 |          7 |          3 |         61 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\template-parts\post\author-bio.php                                    | PHP        |         21 |          8 |          2 |         31 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\template-parts\post\discussion-meta.php                               | PHP        |         20 |          9 |          4 |         33 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwenty\.stylelintrc.json                                                       | JSON       |         12 |          0 |          1 |         13 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwenty\404.php                                                                 | PHP        |         19 |          7 |         11 |         37 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwenty\assets\css\editor-style-block-rtl.css                                   | CSS        |      1,036 |         88 |        338 |      1,462 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwenty\assets\css\editor-style-block.css                                       | CSS        |      1,036 |         88 |        338 |      1,462 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwenty\assets\css\editor-style-classic-rtl.css                                 | CSS        |        461 |         32 |        108 |        601 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwenty\assets\css\editor-style-classic.css                                     | CSS        |        461 |         34 |        110 |        605 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwenty\assets\js\color-calculations.js                                         | JavaScript |         75 |         64 |         18 |        157 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwenty\assets\js\customize-controls.js                                         | JavaScript |         57 |         44 |         14 |        115 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwenty\assets\js\customize-preview.js                                          | JavaScript |        105 |         64 |         25 |        194 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwenty\assets\js\customize.js                                                  | JavaScript |         20 |          5 |          3 |         28 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwenty\assets\js\editor-script-block.js                                        | JavaScript |          3 |          6 |          1 |         10 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwenty\assets\js\index.js                                                      | JavaScript |        545 |        134 |        148 |        827 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwenty\assets\js\skip-link-focus-fix.js                                        | JavaScript |         19 |         11 |          6 |         36 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwenty\classes\class-twentytwenty-customize.php                                | PHP        |        357 |        122 |         63 |        542 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwenty\classes\class-twentytwenty-non-latin-languages.php                      | PHP        |         59 |         55 |         24 |        138 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwenty\classes\class-twentytwenty-script-loader.php                            | PHP        |         17 |         31 |          4 |         52 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwenty\classes\class-twentytwenty-separator-control.php                        | PHP        |         10 |         17 |          4 |         31 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwenty\classes\class-twentytwenty-svg-icons.php                                | PHP        |        182 |         90 |         53 |        325 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwenty\classes\class-twentytwenty-walker-comment.php                           | PHP        |         96 |         30 |         27 |        153 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwenty\classes\class-twentytwenty-walker-page.php                              | PHP        |         90 |         36 |         24 |        150 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwenty\comments.php                                                            | PHP        |         88 |         16 |         29 |        133 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwenty\footer.php                                                              | PHP        |         36 |         14 |         12 |         62 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwenty\functions.php                                                           | PHP        |        407 |        253 |        129 |        789 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwenty\header.php                                                              | PHP        |        119 |         14 |         55 |        188 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwenty\inc\block-patterns.php                                                  | PHP        |        174 |         21 |          9 |        204 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwenty\inc\custom-css.php                                                      | PHP        |         95 |         64 |         37 |        196 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwenty\inc\starter-content.php                                                 | PHP        |        174 |         36 |          9 |        219 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwenty\inc\svg-icons.php                                                       | PHP        |         42 |         27 |          6 |         75 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwenty\inc\template-tags.php                                                   | PHP        |        357 |        323 |        155 |        835 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwenty\index.php                                                               | PHP        |         76 |         15 |         29 |        120 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwenty\package-lock.json                                                       | JSON       |     16,428 |          0 |          1 |     16,429 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwenty\package.json                                                            | JSON       |         55 |          0 |          1 |         56 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwenty\print.css                                                               | CSS        |        116 |         23 |         31 |        170 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwenty\searchform.php                                                          | PHP        |         14 |         16 |          3 |         33 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwenty\singular.php                                                            | PHP        |         15 |          9 |         11 |         35 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwenty\style-rtl.css                                                           | CSS        |      4,599 |        381 |      1,386 |      6,366 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwenty\style.css                                                               | CSS        |      4,599 |        438 |      1,443 |      6,480 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwenty\template-parts\content-cover.php                                        | PHP        |        111 |         23 |         49 |        183 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwenty\template-parts\content.php                                              | PHP        |         50 |         16 |         29 |         95 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwenty\template-parts\entry-author-bio.php                                     | PHP        |         24 |          8 |          2 |         34 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwenty\template-parts\entry-header.php                                         | PHP        |         42 |         15 |         19 |         76 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwenty\template-parts\featured-image.php                                       | PHP        |         22 |          8 |         14 |         44 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwenty\template-parts\footer-menus-widgets.php                                 | PHP        |         75 |          9 |         36 |        120 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwenty\template-parts\modal-menu.php                                           | PHP        |        101 |          8 |         40 |        149 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwenty\template-parts\modal-search.php                                         | PHP        |         19 |          7 |          9 |         35 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwenty\template-parts\navigation.php                                           | PHP        |         37 |          7 |         18 |         62 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwenty\template-parts\pagination.php                                           | PHP        |         31 |         19 |         11 |         61 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwenty\templates\template-cover.php                                            | PHP        |         15 |          8 |         11 |         34 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwenty\templates\template-full-width.php                                       | PHP        |          2 |          8 |          2 |         12 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\.stylelintrc-css.json                                                | JSON       |         23 |          0 |          1 |         24 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\.stylelintrc.json                                                    | JSON       |         16 |          0 |          1 |         17 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\404.php                                                              | PHP        |         14 |          9 |          5 |         28 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\archive.php                                                          | PHP        |         20 |          9 |          9 |         38 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\css\custom-color-overrides.css                                | CSS        |          0 |          5 |          1 |          6 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\css\ie-editor.css                                             | CSS        |      2,647 |         62 |        688 |      3,397 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\css\ie.css                                                    | CSS        |      5,961 |        464 |      1,492 |      7,917 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\css\print.css                                                 | CSS        |        135 |         18 |         26 |        179 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\css\style-dark-mode-rtl.css                                   | CSS        |         90 |          2 |         17 |        109 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\css\style-dark-mode.css                                       | CSS        |         90 |          2 |         17 |        109 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\css\style-editor-customizer.css                               | CSS        |          0 |          3 |          1 |          4 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\css\style-editor.css                                          | CSS        |      2,123 |         61 |        446 |      2,630 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\js\customize-helpers.js                                       | JavaScript |         17 |         19 |          4 |         40 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\js\customize-preview.js                                       | JavaScript |         48 |          7 |          8 |         63 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\js\customize.js                                               | JavaScript |         19 |          4 |          3 |         26 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\js\dark-mode-toggler.js                                       | JavaScript |         59 |          0 |         13 |         72 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\js\editor-dark-mode-support.js                                | JavaScript |         24 |         15 |          6 |         45 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\js\editor.js                                                  | JavaScript |         25 |          6 |          8 |         39 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\js\palette-colorpicker.js                                     | JavaScript |         40 |         12 |          4 |         56 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\js\polyfills.js                                               | JavaScript |         24 |         19 |          4 |         47 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\js\primary-navigation.js                                      | JavaScript |        128 |         53 |         22 |        203 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\js\responsive-embeds.js                                       | JavaScript |         13 |         19 |          5 |         37 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\js\skip-link-focus-fix.js                                     | JavaScript |         19 |         11 |          6 |         36 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\01-settings\file-header.scss                             | SCSS       |          0 |         18 |          1 |         19 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\01-settings\fonts.scss                                   | SCSS       |          0 |          1 |          1 |          2 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\01-settings\global.scss                                  | SCSS       |        189 |         26 |         35 |        250 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\02-tools\functions.scss                                  | SCSS       |         70 |         83 |         26 |        179 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\02-tools\mixins.scss                                     | SCSS       |         68 |         14 |         19 |        101 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\03-generic\breakpoints.scss                              | SCSS       |        154 |         22 |         42 |        218 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\03-generic\clearings.scss                                | SCSS       |         24 |          0 |          2 |         26 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\03-generic\normalize.scss                                | SCSS       |        147 |        129 |         75 |        351 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\03-generic\reset.scss                                    | SCSS       |         51 |         14 |         11 |         76 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\03-generic\vertical-margins.scss                         | SCSS       |        105 |         43 |         26 |        174 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\04-elements\blockquote.scss                              | SCSS       |         67 |          0 |         15 |         82 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\04-elements\forms-editor.scss                            | SCSS       |         13 |          0 |          1 |         14 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\04-elements\forms.scss                                   | SCSS       |        265 |         12 |         53 |        330 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\04-elements\links.scss                                   | SCSS       |         51 |         12 |         15 |         78 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\04-elements\media.scss                                   | SCSS       |         37 |          4 |          6 |         47 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\04-elements\misc.scss                                    | SCSS       |         14 |          1 |          3 |         18 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\_config.scss                                   | SCSS       |          2 |          3 |          3 |          8 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\audio\_style.scss                              | SCSS       |          6 |          0 |          2 |          8 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\blocks-editor.scss                             | SCSS       |         30 |          5 |          2 |         37 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\blocks.scss                                    | SCSS       |         32 |          5 |          2 |         39 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\button\_editor.scss                            | SCSS       |         91 |         22 |         29 |        142 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\button\_style.scss                             | SCSS       |         80 |         20 |         23 |        123 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\code\_editor.scss                              | SCSS       |         12 |          0 |          2 |         14 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\code\_style.scss                               | SCSS       |         13 |          0 |          2 |         15 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\columns\_editor.scss                           | SCSS       |         53 |          3 |         13 |         69 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\columns\_style.scss                            | SCSS       |         81 |          2 |         23 |        106 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\cover\_editor.scss                             | SCSS       |         58 |          4 |         16 |         78 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\cover\_style.scss                              | SCSS       |         89 |          4 |         24 |        117 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\file\_editor.scss                              | SCSS       |         19 |          2 |          5 |         26 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\file\_style.scss                               | SCSS       |         10 |          1 |          3 |         14 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\gallery\_editor.scss                           | SCSS       |          8 |          0 |          3 |         11 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\gallery\_style.scss                            | SCSS       |         23 |          2 |          9 |         34 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\group\_editor.scss                             | SCSS       |         32 |          5 |          9 |         46 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\group\_style.scss                              | SCSS       |         51 |          6 |         14 |         71 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\heading\_editor.scss                           | SCSS       |         73 |          0 |          9 |         82 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\heading\_style.scss                            | SCSS       |         58 |          0 |          8 |         66 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\html\_editor.scss                              | SCSS       |          5 |          1 |          1 |          7 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\image\_editor.scss                             | SCSS       |         13 |          2 |          6 |         21 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\image\_style.scss                              | SCSS       |         49 |          3 |         12 |         64 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\latest-comments\_editor.scss                   | SCSS       |          3 |          0 |          1 |          4 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\latest-comments\_style.scss                    | SCSS       |         27 |          1 |          8 |         36 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\latest-posts\_editor.scss                      | SCSS       |        110 |          9 |         26 |        145 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\latest-posts\_style.scss                       | SCSS       |        138 |         11 |         31 |        180 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\legacy\_editor.scss                            | SCSS       |         33 |          0 |         10 |         43 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\legacy\_style.scss                             | SCSS       |         42 |          1 |         13 |         56 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\list\_editor.scss                              | SCSS       |         26 |          1 |          6 |         33 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\list\_style.scss                               | SCSS       |         35 |          1 |          9 |         45 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\media-text\_editor.scss                        | SCSS       |         13 |          1 |          5 |         19 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\media-text\_style.scss                         | SCSS       |         38 |          4 |         12 |         54 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\navigation\_editor.scss                        | SCSS       |         34 |          0 |         12 |         46 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\navigation\_style.scss                         | SCSS       |        101 |          1 |         27 |        129 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\paragraph\_editor.scss                         | SCSS       |          6 |          0 |          2 |          8 |
