Date : 2021-10-12 14:27:46
Directory : c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content
Total : 515 files,  139201 codes, 34305 comments, 31127 blanks, all 204633 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| plugins\advanced-custom-fields\assets\inc\select2                                                                                                    |          9 |     13,274 |      1,148 |      3,257 |     17,679 |
| plugins\advanced-custom-fields\assets\inc\select2\3                                                                                                  |          3 |      3,159 |        431 |        680 |      4,270 |
| plugins\advanced-custom-fields\assets\inc\select2\4                                                                                                  |          6 |     10,115 |        717 |      2,577 |     13,409 |
| plugins\advanced-custom-fields\assets\inc\timepicker                                                                                                 |          4 |      1,806 |        312 |        215 |      2,333 |
| plugins\advanced-custom-fields\includes                                                                                                              |        130 |     16,982 |     17,146 |      8,181 |     42,309 |
| plugins\advanced-custom-fields\includes\admin                                                                                                        |         21 |      2,355 |      1,611 |        930 |      4,896 |
| plugins\advanced-custom-fields\includes\admin\tools                                                                                                  |          3 |        324 |        379 |        235 |        938 |
| plugins\advanced-custom-fields\includes\admin\views                                                                                                  |         12 |        938 |        132 |        235 |      1,305 |
| plugins\advanced-custom-fields\includes\ajax                                                                                                         |          7 |        374 |        416 |        160 |        950 |
| plugins\advanced-custom-fields\includes\api                                                                                                          |          3 |      2,259 |      2,713 |      1,584 |      6,556 |
| plugins\advanced-custom-fields\includes\fields                                                                                                       |         34 |      5,594 |      4,091 |      2,511 |     12,196 |
| plugins\advanced-custom-fields\includes\forms                                                                                                        |         10 |      1,405 |      1,471 |        873 |      3,749 |
| plugins\advanced-custom-fields\includes\legacy                                                                                                       |          1 |         30 |         31 |         12 |         73 |
| plugins\advanced-custom-fields\includes\locations                                                                                                    |         23 |        940 |        898 |        309 |      2,147 |
| plugins\advanced-custom-fields\includes\walkers                                                                                                      |          2 |         66 |        116 |         29 |        211 |
| themes                                                                                                                                               |        346 |     92,251 |      9,139 |     15,489 |    116,879 |
| themes\nddbase                                                                                                                                       |         32 |      2,063 |         63 |        377 |      2,503 |
| themes\nddbase\.VSCodeCounter                                                                                                                        |          4 |         93 |          0 |         26 |        119 |
| themes\nddbase\.VSCodeCounter\2021-10-06_18-36-31                                                                                                    |          2 |         43 |          0 |         13 |         56 |
| themes\nddbase\.VSCodeCounter\2021-10-07_15-47-17                                                                                                    |          2 |         50 |          0 |         13 |         63 |
| themes\nddbase\css                                                                                                                                   |          6 |      1,214 |         34 |        237 |      1,485 |
| themes\nddbase\js                                                                                                                                    |          6 |        109 |          8 |         28 |        145 |
| themes\nddbase\js\devtools                                                                                                                           |          2 |         26 |          4 |          6 |         36 |
| themes\twentynineteen                                                                                                                                |         88 |     22,504 |      2,379 |      3,354 |     28,237 |
| themes\twentynineteen\classes                                                                                                                        |          2 |        437 |         70 |         83 |        590 |
| themes\twentynineteen\inc                                                                                                                            |          8 |        918 |        392 |        149 |      1,459 |
| themes\twentynineteen\js                                                                                                                             |          5 |        363 |        200 |        135 |        698 |
| themes\twentynineteen\sass                                                                                                                           |         40 |      3,461 |        359 |        905 |      4,725 |
| themes\twentynineteen\sass\blocks                                                                                                                    |          1 |        784 |         71 |        189 |      1,044 |
| themes\twentynineteen\sass\elements                                                                                                                  |          3 |        111 |          0 |         30 |        141 |
| themes\twentynineteen\sass\forms                                                                                                                     |          3 |         85 |          0 |         15 |        100 |
| themes\twentynineteen\sass\layout                                                                                                                    |          1 |          6 |          1 |          5 |         12 |
| themes\twentynineteen\sass\media                                                                                                                     |          3 |         97 |          8 |         23 |        128 |
| themes\twentynineteen\sass\mixins                                                                                                                    |          2 |        144 |         13 |         37 |        194 |
| themes\twentynineteen\sass\modules                                                                                                                   |          3 |         74 |          8 |         10 |         92 |
| themes\twentynineteen\sass\navigation                                                                                                                |          6 |        627 |         42 |        168 |        837 |
| themes\twentynineteen\sass\site                                                                                                                      |          8 |      1,049 |         61 |        300 |      1,410 |
| themes\twentynineteen\sass\site\footer                                                                                                               |          1 |         44 |          1 |          8 |         53 |
| themes\twentynineteen\sass\site\header                                                                                                               |          2 |        315 |         36 |         91 |        442 |
| themes\twentynineteen\sass\site\primary                                                                                                              |          3 |        601 |          8 |        172 |        781 |
| themes\twentynineteen\sass\site\secondary                                                                                                            |          1 |         83 |          1 |         22 |        106 |
| themes\twentynineteen\sass\typography                                                                                                                |          3 |        225 |          1 |         35 |        261 |
| themes\twentynineteen\sass\variables-site                                                                                                            |          6 |        116 |         28 |         20 |        164 |
| themes\twentynineteen\template-parts                                                                                                                 |         10 |        315 |         89 |         54 |        458 |
| themes\twentynineteen\template-parts\content                                                                                                         |          5 |        175 |         49 |         37 |        261 |
| themes\twentynineteen\template-parts\footer                                                                                                          |          1 |         14 |          7 |          4 |         25 |
| themes\twentynineteen\template-parts\header                                                                                                          |          2 |         85 |         16 |          7 |        108 |
| themes\twentynineteen\template-parts\post                                                                                                            |          2 |         41 |         17 |          6 |         64 |
| themes\twentytwenty                                                                                                                                  |         49 |     32,583 |      2,744 |      4,906 |     40,233 |
| themes\twentytwenty\assets                                                                                                                           |         11 |      3,818 |        570 |      1,109 |      5,497 |
| themes\twentytwenty\assets\css                                                                                                                       |          4 |      2,994 |        242 |        894 |      4,130 |
| themes\twentytwenty\assets\js                                                                                                                        |          7 |        824 |        328 |        215 |      1,367 |
| themes\twentytwenty\classes                                                                                                                          |          7 |        811 |        381 |        199 |      1,391 |
| themes\twentytwenty\inc                                                                                                                              |          5 |        842 |        471 |        216 |      1,529 |
| themes\twentytwenty\template-parts                                                                                                                   |         10 |        512 |        120 |        227 |        859 |
| themes\twentytwenty\templates                                                                                                                        |          2 |         17 |         16 |         13 |         46 |
| themes\twentytwentyone                                                                                                                               |        176 |     35,100 |      3,952 |      6,851 |     45,903 |
| themes\twentytwentyone\assets                                                                                                                        |        121 |     17,585 |      1,599 |      4,344 |     23,528 |
| themes\twentytwentyone\assets\css                                                                                                                    |          8 |     11,046 |        617 |      2,688 |     14,351 |
| themes\twentytwentyone\assets\js                                                                                                                     |         11 |        416 |        165 |         83 |        664 |
| themes\twentytwentyone\assets\sass                                                                                                                   |        102 |      6,123 |        817 |      1,573 |      8,513 |
| themes\twentytwentyone\assets\sass\01-settings                                                                                                       |          3 |        189 |         45 |         37 |        271 |
| themes\twentytwentyone\assets\sass\02-tools                                                                                                          |          2 |        138 |         97 |         45 |        280 |
| themes\twentytwentyone\assets\sass\03-generic                                                                                                        |          5 |        481 |        208 |        156 |        845 |
| themes\twentytwentyone\assets\sass\04-elements                                                                                                       |          6 |        447 |         29 |         93 |        569 |
| themes\twentytwentyone\assets\sass\05-blocks                                                                                                         |         64 |      2,820 |        214 |        723 |      3,757 |
| themes\twentytwentyone\assets\sass\05-blocks\audio                                                                                                   |          1 |          6 |          0 |          2 |          8 |
| themes\twentytwentyone\assets\sass\05-blocks\button                                                                                                  |          2 |        171 |         42 |         52 |        265 |
| themes\twentytwentyone\assets\sass\05-blocks\code                                                                                                    |          2 |         25 |          0 |          4 |         29 |
| themes\twentytwentyone\assets\sass\05-blocks\columns                                                                                                 |          2 |        134 |          5 |         36 |        175 |
| themes\twentytwentyone\assets\sass\05-blocks\cover                                                                                                   |          2 |        147 |          8 |         40 |        195 |
| themes\twentytwentyone\assets\sass\05-blocks\file                                                                                                    |          2 |         29 |          3 |          8 |         40 |
| themes\twentytwentyone\assets\sass\05-blocks\gallery                                                                                                 |          2 |         31 |          2 |         12 |         45 |
| themes\twentytwentyone\assets\sass\05-blocks\group                                                                                                   |          2 |         83 |         11 |         23 |        117 |
| themes\twentytwentyone\assets\sass\05-blocks\heading                                                                                                 |          2 |        131 |          0 |         17 |        148 |
| themes\twentytwentyone\assets\sass\05-blocks\html                                                                                                    |          1 |          5 |          1 |          1 |          7 |
| themes\twentytwentyone\assets\sass\05-blocks\image                                                                                                   |          2 |         62 |          5 |         18 |         85 |
| themes\twentytwentyone\assets\sass\05-blocks\latest-comments                                                                                         |          2 |         30 |          1 |          9 |         40 |
| themes\twentytwentyone\assets\sass\05-blocks\latest-posts                                                                                            |          2 |        248 |         20 |         57 |        325 |
| themes\twentytwentyone\assets\sass\05-blocks\legacy                                                                                                  |          2 |         75 |          1 |         23 |         99 |
| themes\twentytwentyone\assets\sass\05-blocks\list                                                                                                    |          2 |         61 |          2 |         15 |         78 |
| themes\twentytwentyone\assets\sass\05-blocks\media-text                                                                                              |          2 |         51 |          5 |         17 |         73 |
| themes\twentytwentyone\assets\sass\05-blocks\navigation                                                                                              |          2 |        135 |          1 |         39 |        175 |
| themes\twentytwentyone\assets\sass\05-blocks\paragraph                                                                                               |          2 |         15 |          2 |          6 |         23 |
| themes\twentytwentyone\assets\sass\05-blocks\preformatted                                                                                            |          2 |          9 |          0 |          3 |         12 |
| themes\twentytwentyone\assets\sass\05-blocks\pullquote                                                                                               |          2 |        177 |          4 |         37 |        218 |
| themes\twentytwentyone\assets\sass\05-blocks\query-loop                                                                                              |          2 |         16 |          0 |          6 |         22 |
| themes\twentytwentyone\assets\sass\05-blocks\quote                                                                                                   |          2 |        222 |         13 |         55 |        290 |
| themes\twentytwentyone\assets\sass\05-blocks\rss                                                                                                     |          2 |        168 |         14 |         38 |        220 |
| themes\twentytwentyone\assets\sass\05-blocks\search                                                                                                  |          2 |        179 |          5 |         48 |        232 |
| themes\twentytwentyone\assets\sass\05-blocks\separator                                                                                               |          2 |         85 |          3 |         22 |        110 |
| themes\twentytwentyone\assets\sass\05-blocks\social-icons                                                                                            |          2 |         28 |          1 |         12 |         41 |
| themes\twentytwentyone\assets\sass\05-blocks\spacer                                                                                                  |          1 |         10 |          1 |          3 |         14 |
| themes\twentytwentyone\assets\sass\05-blocks\table                                                                                                   |          2 |        153 |          0 |         37 |        190 |
| themes\twentytwentyone\assets\sass\05-blocks\tag-clould                                                                                              |          2 |         11 |          0 |          4 |         15 |
| themes\twentytwentyone\assets\sass\05-blocks\utilities                                                                                               |          3 |        238 |         51 |         67 |        356 |
| themes\twentytwentyone\assets\sass\05-blocks\verse                                                                                                   |          2 |          7 |          0 |          2 |          9 |
| themes\twentytwentyone\assets\sass\05-blocks\video                                                                                                   |          1 |         14 |          0 |          3 |         17 |
| themes\twentytwentyone\assets\sass\06-components                                                                                                     |         14 |      1,468 |         88 |        399 |      1,955 |
| themes\twentytwentyone\assets\sass\07-utilities                                                                                                      |          5 |        453 |         50 |         86 |        589 |
| themes\twentytwentyone\classes                                                                                                                       |          6 |        567 |        415 |        111 |      1,093 |
| themes\twentytwentyone\inc                                                                                                                           |          8 |        741 |        482 |        164 |      1,387 |
| themes\twentytwentyone\template-parts                                                                                                                |         22 |        316 |        211 |        101 |        628 |
| themes\twentytwentyone\template-parts\content                                                                                                        |          5 |        147 |         51 |         45 |        243 |
| themes\twentytwentyone\template-parts\excerpt                                                                                                        |         10 |         56 |        108 |         29 |        193 |
| themes\twentytwentyone\template-parts\footer                                                                                                         |          1 |          6 |          7 |          4 |         17 |
| themes\twentytwentyone\template-parts\header                                                                                                         |          5 |         79 |         36 |         21 |        136 |
| themes\twentytwentyone\template-parts\post                                                                                                           |          1 |         28 |          9 |          2 |         39 |
+------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                             | language   | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\index.php                                                                                   | PHP        |          1 |          1 |          1 |          3 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\mu-plugins\.VSCodeCounter\2021-10-06_18-35-52\details.md                                    | Markdown   |         10 |          0 |          6 |         16 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\mu-plugins\.VSCodeCounter\2021-10-06_18-35-52\results.md                                    | Markdown   |         14 |          0 |          7 |         21 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\mu-plugins\ndd_post_types.php                                                               | PHP        |         49 |          2 |          3 |         54 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\README.md                                                    | Markdown   |         14 |          0 |         11 |         25 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\acf.php                                                      | PHP        |        336 |        269 |         63 |        668 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\assets\build\css\acf-dark.css                                | CSS        |        260 |         28 |         28 |        316 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\assets\build\css\acf-dark.min.css                            | CSS        |          1 |          0 |          0 |          1 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\assets\build\css\acf-field-group.css                         | CSS        |        343 |        112 |         26 |        481 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\assets\build\css\acf-field-group.min.css                     | CSS        |          1 |          0 |          0 |          1 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\assets\build\css\acf-global.css                              | CSS        |      1,396 |        162 |        104 |      1,662 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\assets\build\css\acf-global.min.css                          | CSS        |          1 |          0 |          0 |          1 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\assets\build\css\acf-input.css                               | CSS        |      2,446 |        363 |        123 |      2,932 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\assets\build\css\acf-input.min.css                           | CSS        |          1 |          0 |          0 |          1 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\assets\build\js\acf-field-group.js                           | JavaScript |      1,371 |        627 |        583 |      2,581 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\assets\build\js\acf-field-group.min.js                       | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\assets\build\js\acf-input.js                                 | JavaScript |      5,728 |      2,925 |      2,251 |     10,904 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\assets\build\js\acf-input.min.js                             | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\assets\build\js\acf.js                                       | JavaScript |      1,959 |      1,798 |        692 |      4,449 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\assets\build\js\acf.min.js                                   | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\assets\images\icon-upgrade-pro.svg                           | XML        |          6 |          0 |          1 |          7 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\assets\inc\color-picker-alpha\wp-color-picker-alpha.js       | JavaScript |        349 |        225 |         61 |        635 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\assets\inc\color-picker-alpha\wp-color-picker-alpha.min.js   | JavaScript |          1 |         10 |          0 |         11 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\assets\inc\datepicker\jquery-ui.css                          | CSS        |        596 |         32 |         23 |        651 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\assets\inc\datepicker\jquery-ui.min.css                      | CSS        |          1 |          5 |          1 |          7 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\assets\inc\select2\3\select2.css                             | CSS        |        561 |         19 |        125 |        705 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\assets\inc\select2\3\select2.js                              | JavaScript |      2,595 |        392 |        555 |      3,542 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\assets\inc\select2\3\select2.min.js                          | JavaScript |          3 |         20 |          0 |         23 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\assets\inc\select2\4\select2.css                             | CSS        |        425 |          0 |         57 |        482 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\assets\inc\select2\4\select2.full.js                         | JavaScript |      5,096 |        384 |      1,333 |      6,813 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\assets\inc\select2\4\select2.full.min.js                     | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\assets\inc\select2\4\select2.js                              | JavaScript |      4,591 |        332 |      1,186 |      6,109 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\assets\inc\select2\4\select2.min.css                         | CSS        |          1 |          0 |          1 |          2 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\assets\inc\select2\4\select2.min.js                          | JavaScript |          1 |          1 |          0 |          2 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\assets\inc\timepicker\jquery-ui-timepicker-addon.css         | CSS        |         26 |          1 |          3 |         30 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\assets\inc\timepicker\jquery-ui-timepicker-addon.js          | JavaScript |      1,777 |        308 |        211 |      2,296 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\assets\inc\timepicker\jquery-ui-timepicker-addon.min.css     | CSS        |          1 |          3 |          1 |          5 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\assets\inc\timepicker\jquery-ui-timepicker-addon.min.js      | JavaScript |          2 |          0 |          0 |          2 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\acf-field-functions.php                             | PHP        |        555 |        805 |        236 |      1,596 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\acf-field-group-functions.php                       | PHP        |        414 |        527 |        169 |      1,110 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\acf-form-functions.php                              | PHP        |         58 |         84 |         27 |        169 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\acf-helper-functions.php                            | PHP        |        123 |        302 |         46 |        471 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\acf-hook-functions.php                              | PHP        |         85 |        109 |         37 |        231 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\acf-input-functions.php                             | PHP        |        154 |        298 |         46 |        498 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\acf-meta-functions.php                              | PHP        |        142 |        185 |         56 |        383 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\acf-post-functions.php                              | PHP        |         20 |         14 |          7 |         41 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\acf-user-functions.php                              | PHP        |         39 |         63 |         18 |        120 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\acf-utility-functions.php                           | PHP        |         47 |         97 |         15 |        159 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\acf-value-functions.php                             | PHP        |         84 |        192 |         49 |        325 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\acf-wp-functions.php                                | PHP        |        158 |         48 |         13 |        219 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\admin\admin-field-group.php                         | PHP        |        312 |        330 |        179 |        821 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\admin\admin-field-groups.php                        | PHP        |        467 |        317 |        102 |        886 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\admin\admin-notices.php                             | PHP        |         47 |         73 |         21 |        141 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\admin\admin-tools.php                               | PHP        |         85 |        170 |         93 |        348 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\admin\admin-upgrade.php                             | PHP        |         82 |        125 |         40 |        247 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\admin\admin.php                                     | PHP        |        100 |         85 |         25 |        210 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\admin\tools\class-acf-admin-tool-export.php         | PHP        |        218 |        219 |        144 |        581 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\admin\tools\class-acf-admin-tool-import.php         | PHP        |         73 |         51 |         38 |        162 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\admin\tools\class-acf-admin-tool.php                | PHP        |         33 |        109 |         53 |        195 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\admin\views\field-group-field-conditional-logic.php | PHP        |        133 |         12 |         33 |        178 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\admin\views\field-group-field.php                   | PHP        |        182 |         13 |         30 |        225 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\admin\views\field-group-fields.php                  | PHP        |         61 |          1 |         15 |         77 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\admin\views\field-group-locations.php               | PHP        |         37 |          3 |         13 |         53 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\admin\views\field-group-options.php                 | PHP        |        136 |         12 |         24 |        172 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\admin\views\html-admin-navigation.php               | PHP        |         55 |         23 |         16 |         94 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\admin\views\html-admin-page-upgrade-network.php     | PHP        |        139 |         26 |         32 |        197 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\admin\views\html-admin-page-upgrade.php             | PHP        |         60 |         17 |         21 |         98 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\admin\views\html-admin-tools.php                    | PHP        |         12 |         12 |          7 |         31 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\admin\views\html-location-group.php                 | PHP        |         20 |          3 |          8 |         31 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\admin\views\html-location-rule.php                  | PHP        |         64 |          9 |         25 |         98 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\admin\views\html-notice-upgrade.php                 | PHP        |         39 |          1 |         11 |         51 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\ajax\class-acf-ajax-check-screen.php                | PHP        |         53 |         26 |         25 |        104 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\ajax\class-acf-ajax-local-json-diff.php             | PHP        |         51 |         18 |         14 |         83 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\ajax\class-acf-ajax-query-users.php                 | PHP        |         96 |        140 |         40 |        276 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\ajax\class-acf-ajax-query.php                       | PHP        |         58 |         70 |         25 |        153 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\ajax\class-acf-ajax-upgrade.php                     | PHP        |         25 |         18 |         14 |         57 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\ajax\class-acf-ajax-user-setting.php                | PHP        |         18 |         15 |         11 |         44 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\ajax\class-acf-ajax.php                             | PHP        |         73 |        129 |         31 |        233 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\api\api-helpers.php                                 | PHP        |      1,573 |      1,893 |      1,132 |      4,598 |
